"DAG","NAAR BED","OPGESTAAN","MASSA","DOUCHEN","ONTBIJT ","VITAMINEN","MINDFULL","YOGA","POMODDORI","VEGAN","LUNCH NA 12:00","SALADE LUNCH","WANDEL","AVONDETEN","GEEN EXTRA","GERECHT","SNACK","VEGAN","ALCOHOL","SPORT","RELATIE","SOCIAAL","CHORES","STUDIE","STEPS","FIETS"
2022-02-16,12:00:00 AM,08:00:00 AM,6.66,3,3,1,1,1,2,3,1,1,3,,,"Chili sin Carne",,3,3,,,,1,,,0
2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,
